Config,Grid Size,Obstacle Density,Algorithm,Heuristic,Weight,Found,Path Cost,Optimal Cost,Optimal?,Subopt Gap,Nodes Expanded,Nodes Reopened,Consistency Violations,Time (s),Seed
baseline,5x5,0.0,bfs,,,Yes,8.0,8.0,True,,25,0,0,5.2e-05,42
baseline,5x5,0.0,astar_zero,zero,,Yes,8.0,8.0,True,,25,0,0,7.2e-05,42
baseline,5x5,0.0,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,25,0,0,6.6e-05,42
baseline,5x5,0.0,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,25,0,4,6.9e-05,42
baseline,5x5,0.0,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,25,0,0,6.2e-05,42
baseline,5x5,0.0,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,12,2.2e-05,42
baseline,5x5,0.0,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,12,2.1e-05,42
baseline,5x5,0.0,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,12,2.1e-05,42
baseline,5x5,0.0,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,12,2e-05,42
baseline,5x5,0.0,bfs,,,Yes,8.0,8.0,True,,25,0,0,3.8e-05,43
baseline,5x5,0.0,astar_zero,zero,,Yes,8.0,8.0,True,,25,0,0,5.5e-05,43
baseline,5x5,0.0,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,25,0,0,6e-05,43
baseline,5x5,0.0,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,25,0,4,6.6e-05,43
baseline,5x5,0.0,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,25,0,0,5.9e-05,43
baseline,5x5,0.0,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,12,2.1e-05,43
baseline,5x5,0.0,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,12,2e-05,43
baseline,5x5,0.0,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,12,2e-05,43
baseline,5x5,0.0,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,12,2e-05,43
baseline,5x5,0.0,bfs,,,Yes,8.0,8.0,True,,25,0,0,3.6e-05,44
baseline,5x5,0.0,astar_zero,zero,,Yes,8.0,8.0,True,,25,0,0,5.5e-05,44
baseline,5x5,0.0,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,25,0,0,6e-05,44
baseline,5x5,0.0,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,25,0,4,6.5e-05,44
baseline,5x5,0.0,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,25,0,0,5.9e-05,44
baseline,5x5,0.0,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,12,2e-05,44
baseline,5x5,0.0,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,12,2e-05,44
baseline,5x5,0.0,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,12,2e-05,44
baseline,5x5,0.0,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,12,2e-05,44
baseline,5x5,0.0,bfs,,,Yes,8.0,8.0,True,,25,0,0,3.6e-05,45
baseline,5x5,0.0,astar_zero,zero,,Yes,8.0,8.0,True,,25,0,0,5.5e-05,45
baseline,5x5,0.0,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,25,0,0,5.9e-05,45
baseline,5x5,0.0,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,25,0,4,6.5e-05,45
baseline,5x5,0.0,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,25,0,0,5.9e-05,45
baseline,5x5,0.0,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,12,2e-05,45
baseline,5x5,0.0,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,12,2e-05,45
baseline,5x5,0.0,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,12,2e-05,45
baseline,5x5,0.0,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,12,2e-05,45
baseline,5x5,0.0,bfs,,,Yes,8.0,8.0,True,,25,0,0,3.7e-05,46
baseline,5x5,0.0,astar_zero,zero,,Yes,8.0,8.0,True,,25,0,0,5.5e-05,46
baseline,5x5,0.0,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,25,0,0,5.9e-05,46
baseline,5x5,0.0,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,25,0,4,6.5e-05,46
baseline,5x5,0.0,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,25,0,0,5.9e-05,46
baseline,5x5,0.0,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,12,2e-05,46
baseline,5x5,0.0,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,12,2e-05,46
baseline,5x5,0.0,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,12,2e-05,46
baseline,5x5,0.0,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,12,2e-05,46
baseline,5x5,0.08,bfs,,,Yes,8.0,8.0,True,,23,0,0,3.3e-05,42
baseline,5x5,0.08,astar_zero,zero,,Yes,8.0,8.0,True,,23,0,0,5.1e-05,42
baseline,5x5,0.08,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,23,0,0,5.3e-05,42
baseline,5x5,0.08,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,23,0,4,6e-05,42
baseline,5x5,0.08,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,23,0,0,5.3e-05,42
baseline,5x5,0.08,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,10,0,13,2.2e-05,42
baseline,5x5,0.08,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,10,0,13,2.2e-05,42
baseline,5x5,0.08,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,10,0,13,2.2e-05,42
baseline,5x5,0.08,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,10,0,13,2.2e-05,42
baseline,5x5,0.08,bfs,,,Yes,8.0,8.0,True,,23,0,0,3.3e-05,43
baseline,5x5,0.08,astar_zero,zero,,Yes,8.0,8.0,True,,23,0,0,4.9e-05,43
baseline,5x5,0.08,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,19,0,0,4.6e-05,43
baseline,5x5,0.08,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,19,0,4,5.2e-05,43
baseline,5x5,0.08,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,19,0,0,4.6e-05,43
baseline,5x5,0.08,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,12,2.2e-05,43
baseline,5x5,0.08,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,12,2.1e-05,43
baseline,5x5,0.08,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,12,2.2e-05,43
baseline,5x5,0.08,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,12,2.1e-05,43
baseline,5x5,0.08,bfs,,,Yes,8.0,8.0,True,,23,0,0,3.2e-05,44
baseline,5x5,0.08,astar_zero,zero,,Yes,8.0,8.0,True,,23,0,0,4.8e-05,44
baseline,5x5,0.08,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,23,0,0,5.1e-05,44
