Config,Grid Size,Obstacle Density,Algorithm,Found,Path Cost,Nodes Expanded,Time (s),Failure Reason
baseline,5x5,0.0,bfs,Yes,8.0,25,5.3e-05,
baseline,5x5,0.0,dfs,Yes,16.0,17,3.5e-05,
baseline,5x5,0.0,iddfs,Yes,8.0,928,0.000782,
baseline,5x5,0.0,astar,Yes,8.0,25,7e-05,
max_depth_5,5x5,0.0,bfs,No,-,19,3.3e-05,depth_limit
max_depth_5,5x5,0.0,dfs,No,-,19,2.6e-05,depth_limit
max_depth_5,5x5,0.0,iddfs,No,-,168,0.000132,depth_limit
max_depth_5,5x5,0.0,astar,No,-,19,4.2e-05,depth_limit
max_expansions_50,5x5,0.0,bfs,Yes,8.0,25,4.5e-05,
max_expansions_50,5x5,0.0,dfs,Yes,16.0,17,2.6e-05,
max_expansions_50,5x5,0.0,iddfs,No,-,50,4e-05,expansion_limit
max_expansions_50,5x5,0.0,astar,Yes,8.0,25,6.3e-05,
time_0.001s,5x5,0.0,bfs,Yes,8.0,25,4.6e-05,
time_0.001s,5x5,0.0,dfs,Yes,16.0,17,2.6e-05,
time_0.001s,5x5,0.0,iddfs,Yes,8.0,928,0.000808,
time_0.001s,5x5,0.0,astar,Yes,8.0,25,6.3e-05,
time_0.002s,5x5,0.0,bfs,Yes,8.0,25,4.6e-05,
time_0.002s,5x5,0.0,dfs,Yes,16.0,17,2.6e-05,
time_0.002s,5x5,0.0,iddfs,Yes,8.0,928,0.000806,
time_0.002s,5x5,0.0,astar,Yes,8.0,25,6.2e-05,
time_0.005s,5x5,0.0,bfs,Yes,8.0,25,4.5e-05,
time_0.005s,5x5,0.0,dfs,Yes,16.0,17,2.6e-05,
time_0.005s,5x5,0.0,iddfs,Yes,8.0,928,0.000824,
time_0.005s,5x5,0.0,astar,Yes,8.0,25,6.2e-05,
time_0.01s,5x5,0.0,bfs,Yes,8.0,25,4.9e-05,
time_0.01s,5x5,0.0,dfs,Yes,16.0,17,2.6e-05,
time_0.01s,5x5,0.0,iddfs,Yes,8.0,928,0.000805,
time_0.01s,5x5,0.0,astar,Yes,8.0,25,6.6e-05,
time_0.1s,5x5,0.0,bfs,Yes,8.0,25,4.2e-05,
time_0.1s,5x5,0.0,dfs,Yes,16.0,17,6.7e-05,
time_0.1s,5x5,0.0,iddfs,Yes,8.0,928,0.000844,
time_0.1s,5x5,0.0,astar,Yes,8.0,25,7.2e-05,
baseline,5x5,0.08,bfs,Yes,8.0,23,4.4e-05,
baseline,5x5,0.08,dfs,Yes,8.0,19,2.9e-05,
baseline,5x5,0.08,iddfs,Yes,8.0,824,0.000737,
baseline,5x5,0.08,astar,Yes,8.0,23,6.1e-05,
max_depth_5,5x5,0.08,bfs,No,-,17,3.1e-05,depth_limit
max_depth_5,5x5,0.08,dfs,No,-,17,2.3e-05,depth_limit
max_depth_5,5x5,0.08,iddfs,No,-,160,0.00013,depth_limit
max_depth_5,5x5,0.08,astar,No,-,17,3.8e-05,depth_limit
max_expansions_50,5x5,0.08,bfs,Yes,8.0,23,4.2e-05,
max_expansions_50,5x5,0.08,dfs,Yes,8.0,19,2.9e-05,
max_expansions_50,5x5,0.08,iddfs,No,-,50,4.1e-05,expansion_limit
max_expansions_50,5x5,0.08,astar,Yes,8.0,23,5.7e-05,
time_0.001s,5x5,0.08,bfs,Yes,8.0,23,4.6e-05,
time_0.001s,5x5,0.08,dfs,Yes,8.0,19,3e-05,
time_0.001s,5x5,0.08,iddfs,Yes,8.0,824,0.000858,
time_0.001s,5x5,0.08,astar,Yes,8.0,23,6.2e-05,
time_0.002s,5x5,0.08,bfs,Yes,8.0,23,4.2e-05,
time_0.002s,5x5,0.08,dfs,Yes,8.0,19,2.9e-05,
time_0.002s,5x5,0.08,iddfs,Yes,8.0,824,0.000742,
time_0.002s,5x5,0.08,astar,Yes,8.0,23,5.7e-05,
time_0.005s,5x5,0.08,bfs,Yes,8.0,23,4.2e-05,
time_0.005s,5x5,0.08,dfs,Yes,8.0,19,2.9e-05,
time_0.005s,5x5,0.08,iddfs,Yes,8.0,824,0.000738,
time_0.005s,5x5,0.08,astar,Yes,8.0,23,5.6e-05,
time_0.01s,5x5,0.08,bfs,Yes,8.0,23,4.1e-05,
time_0.01s,5x5,0.08,dfs,Yes,8.0,19,2.8e-05,
time_0.01s,5x5,0.08,iddfs,Yes,8.0,824,0.000712,
time_0.01s,5x5,0.08,astar,Yes,8.0,23,5.5e-05,
time_0.1s,5x5,0.08,bfs,Yes,8.0,23,4e-05,
time_0.1s,5x5,0.08,dfs,Yes,8.0,19,7.4e-05,
time_0.1s,5x5,0.08,iddfs,Yes,8.0,824,0.000712,
time_0.1s,5x5,0.08,astar,Yes,8.0,23,5.6e-05,
baseline,5x5,0.16,bfs,Yes,8.0,21,3.9e-05,
baseline,5x5,0.16,dfs,Yes,8.0,9,1.4e-05,
baseline,5x5,0.16,iddfs,Yes,8.0,367,0.000318,
