Config,Grid Size,Obstacle Density,Algorithm,Heuristic,Found,Path Cost,Optimal Cost,Optimal?,Subopt Gap,Nodes Expanded,Nodes Reopened,Consistency Violations,Time (s),Seed
baseline,5x5,0.0,bfs,,Yes,8.0,8.0,True,,25,0,0,5.3e-05,42
baseline,5x5,0.0,astar_zero,zero,Yes,8.0,8.0,True,,25,0,0,7.3e-05,42
baseline,5x5,0.0,astar_manhattan,manhattan,Yes,8.0,8.0,True,,25,0,0,7.4e-05,42
baseline,5x5,0.0,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,25,0,4,8e-05,42
baseline,5x5,0.0,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.6e-05,42
baseline,5x5,0.0,bfs,,Yes,8.0,8.0,True,,25,0,0,4.4e-05,43
baseline,5x5,0.0,astar_zero,zero,Yes,8.0,8.0,True,,25,0,0,6.4e-05,43
baseline,5x5,0.0,astar_manhattan,manhattan,Yes,8.0,8.0,True,,25,0,0,6.8e-05,43
baseline,5x5,0.0,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,25,0,4,7.5e-05,43
baseline,5x5,0.0,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.4e-05,43
baseline,5x5,0.0,bfs,,Yes,8.0,8.0,True,,25,0,0,4.2e-05,44
baseline,5x5,0.0,astar_zero,zero,Yes,8.0,8.0,True,,25,0,0,6.3e-05,44
baseline,5x5,0.0,astar_manhattan,manhattan,Yes,8.0,8.0,True,,25,0,0,6.9e-05,44
baseline,5x5,0.0,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,25,0,4,7.5e-05,44
baseline,5x5,0.0,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.4e-05,44
baseline,5x5,0.0,bfs,,Yes,8.0,8.0,True,,25,0,0,4.2e-05,45
baseline,5x5,0.0,astar_zero,zero,Yes,8.0,8.0,True,,25,0,0,6.2e-05,45
baseline,5x5,0.0,astar_manhattan,manhattan,Yes,8.0,8.0,True,,25,0,0,6.8e-05,45
baseline,5x5,0.0,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,25,0,4,7.5e-05,45
baseline,5x5,0.0,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.4e-05,45
baseline,5x5,0.0,bfs,,Yes,8.0,8.0,True,,25,0,0,4.1e-05,46
baseline,5x5,0.0,astar_zero,zero,Yes,8.0,8.0,True,,25,0,0,6.2e-05,46
baseline,5x5,0.0,astar_manhattan,manhattan,Yes,8.0,8.0,True,,25,0,0,6.9e-05,46
baseline,5x5,0.0,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,25,0,4,8e-05,46
baseline,5x5,0.0,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.4e-05,46
baseline,5x5,0.08,bfs,,Yes,8.0,8.0,True,,23,0,0,3.7e-05,42
baseline,5x5,0.08,astar_zero,zero,Yes,8.0,8.0,True,,23,0,0,5.6e-05,42
baseline,5x5,0.08,astar_manhattan,manhattan,Yes,8.0,8.0,True,,23,0,0,6.1e-05,42
baseline,5x5,0.08,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,23,0,4,6.7e-05,42
baseline,5x5,0.08,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,10,0,13,2.6e-05,42
baseline,5x5,0.08,bfs,,Yes,8.0,8.0,True,,23,0,0,3.8e-05,43
baseline,5x5,0.08,astar_zero,zero,Yes,8.0,8.0,True,,23,0,0,5.6e-05,43
baseline,5x5,0.08,astar_manhattan,manhattan,Yes,8.0,8.0,True,,19,0,0,5.4e-05,43
baseline,5x5,0.08,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,19,0,4,5.9e-05,43
baseline,5x5,0.08,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.5e-05,43
baseline,5x5,0.08,bfs,,Yes,8.0,8.0,True,,23,0,0,3.6e-05,44
baseline,5x5,0.08,astar_zero,zero,Yes,8.0,8.0,True,,23,0,0,5.5e-05,44
baseline,5x5,0.08,astar_manhattan,manhattan,Yes,8.0,8.0,True,,23,0,0,6e-05,44
baseline,5x5,0.08,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,23,0,3,6.6e-05,44
baseline,5x5,0.08,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.3e-05,44
baseline,5x5,0.08,bfs,,Yes,8.0,8.0,True,,23,0,0,4.1e-05,45
baseline,5x5,0.08,astar_zero,zero,Yes,8.0,8.0,True,,23,0,0,5.9e-05,45
baseline,5x5,0.08,astar_manhattan,manhattan,Yes,8.0,8.0,True,,23,0,0,6.1e-05,45
baseline,5x5,0.08,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,23,0,4,7.7e-05,45
